#timestamp x y z qx qy qz qw
1765374598.831988 0.000000 0.000000 0.000000 0.000000 0.000000 0.006059 0.999982
1765374620.431973 0.157760 0.007367 0.000000 0.000000 0.000000 0.021289 0.999773
1765374621.231993 0.312490 0.016307 0.000000 0.000000 0.000000 0.024750 0.999694
1765374622.231992 0.486612 0.033004 0.000000 0.000000 0.000000 0.077375 0.997002
1765374624.031984 0.560661 0.037457 0.000000 0.000000 0.000000 -0.020625 0.999787
1765374624.532004 0.660300 0.025080 0.000000 0.000000 0.000000 -0.082769 0.996569
1765374625.331987 0.822461 -0.005330 0.000000 0.000000 0.000000 -0.097990 0.995187
1765374627.032005 1.131311 -0.066495 0.000000 0.000000 0.000000 -0.063779 0.997964
1765374628.232000 1.370867 -0.068223 0.000000 0.000000 0.000000 0.043610 0.999049
1765374629.631997 1.506438 -0.057296 0.000000 0.000000 0.000000 0.020771 0.999784
1765374632.831982 1.691729 -0.060831 0.000000 0.000000 0.000000 -0.120967 0.992657
1765374635.931969 2.289564 -0.205344 0.000000 0.000000 0.000000 0.024197 0.999707
1765374637.731978 2.293892 -0.204107 0.000000 0.000000 0.000000 0.112659 0.993634
1765374638.431996 2.285895 -0.208137 0.000000 0.000000 0.000000 0.232529 0.972589
1765374639.231971 2.340447 -0.168780 0.000000 0.000000 0.000000 0.321481 0.946916
1765374640.231993 2.474506 -0.047314 0.000000 0.000000 0.000000 0.409962 0.912103
1765374641.431983 2.596360 0.161955 0.000000 0.000000 0.000000 0.580608 0.814183
1765374641.931988 2.613661 0.221622 0.000000 0.000000 0.000000 0.622632 0.782515
1765374642.631998 2.639187 0.357601 0.000000 0.000000 0.000000 0.653282 0.757114
1765374643.231987 2.656394 0.470730 0.000000 0.000000 0.000000 0.651944 0.758267
1765374645.631991 2.677884 0.721753 0.000000 0.000000 0.000000 0.709246 0.704961
1765374648.431995 2.669324 0.744695 0.000000 0.000000 0.000000 0.894218 0.447632
1765374649.931981 2.676971 0.738225 0.000000 0.000000 0.000000 0.954702 0.297564
1765374650.431997 2.685737 0.733418 0.000000 0.000000 0.000000 0.977472 0.211066
1765374654.331984 2.401619 0.783545 0.000000 0.000000 0.000000 0.998978 0.045203
1765374655.631990 2.184570 0.785166 0.000000 0.000000 0.000000 0.999782 -0.020891
1765374656.431974 2.043082 0.772178 0.000000 0.000000 0.000000 0.997687 -0.067969
1765374656.932332 1.940943 0.753268 0.000000 0.000000 0.000000 0.994472 -0.105002
1765374657.731994 1.783481 0.725649 0.000000 0.000000 0.000000 0.998049 -0.062434
1765374658.231991 1.679017 0.715440 0.000000 0.000000 0.000000 0.999497 -0.031708
1765374662.131972 1.626730 0.713415 0.000000 0.000000 0.000000 0.983735 0.179625
1765374662.731967 1.626172 0.713603 0.000000 0.000000 0.000000 0.967869 0.251454
1765374663.431978 1.618271 0.718735 0.000000 0.000000 0.000000 0.949052 0.315120
1765374665.831972 1.614759 0.722096 0.000000 0.000000 0.000000 0.844758 0.535148
1765374666.431970 1.610257 0.735778 0.000000 0.000000 0.000000 0.802088 0.597205
1765374667.431979 1.589718 0.848269 0.000000 0.000000 0.000000 0.757415 0.652934
1765374669.331981 1.573495 0.986695 0.000000 0.000000 0.000000 0.733048 0.680177
1765374670.031986 1.571317 1.131023 0.000000 0.000000 0.000000 0.693888 0.720083
1765374672.331980 1.590288 1.437752 0.000000 0.000000 0.000000 0.689174 0.724596
1765374673.631973 1.590020 1.427740 0.000000 0.000000 0.000000 0.735592 0.677425
1765374674.031986 1.582011 1.480332 0.000000 0.000000 0.000000 0.778328 0.627858
1765374674.331972 1.561075 1.556256 0.000000 0.000000 0.000000 0.811180 0.584796
1765374677.631966 1.486108 1.915079 0.000000 0.000000 0.000000 0.728822 0.684703
1765374678.431958 1.472361 2.070048 0.000000 0.000000 0.000000 0.736528 0.676408
1765374679.534930 1.455069 2.206900 0.000000 0.000000 0.000000 0.757049 0.653359
1765374680.831997 1.454707 2.211892 0.000000 0.000000 0.000000 0.698452 0.715657
1765374681.631992 1.455247 2.206164 0.000000 0.000000 0.000000 0.614505 0.788913
1765374682.431971 1.453146 2.202909 0.000000 0.000000 0.000000 0.535827 0.844328
1765374685.933567 1.813297 2.525864 0.000000 0.000000 0.000000 0.356657 0.934235
1765374688.131974 1.809519 2.522582 0.000000 0.000000 0.000000 0.308985 0.951067
1765374688.531981 1.801319 2.518028 0.000000 0.000000 0.000000 0.236660 0.971592
1765374689.131989 1.796618 2.516342 0.000000 0.000000 0.000000 0.163352 0.986568
1765374689.931980 1.791268 2.514613 0.000000 0.000000 0.000000 0.088965 0.996035
1765374693.631971 2.151752 2.410625 0.000000 0.000000 0.000000 -0.378984 0.925403
1765374695.731994 2.304898 2.176900 0.000000 0.000000 0.000000 -0.495348 0.868695
1765374697.631975 2.307279 2.167902 0.000000 0.000000 0.000000 -0.615238 0.788341
1765374698.731966 2.308075 2.152315 0.000000 0.000000 0.000000 -0.714213 0.699928
1765374699.331979 2.308444 2.151629 0.000000 0.000000 0.000000 -0.756054 0.654509
1765374700.731974 2.277950 2.057142 0.000000 0.000000 0.000000 -0.833381 0.552700
1765374703.031984 2.276133 2.048110 0.000000 0.000000 0.000000 -0.685344 0.728220
1765374704.431979 2.331570 1.868630 0.000000 0.000000 0.000000 -0.572566 0.819858
1765374707.431973 2.341792 1.843059 0.000000 0.000000 0.000000 -0.493149 0.869945
1765374708.831997 2.345144 1.840131 0.000000 0.000000 0.000000 -0.436385 0.899760
1765374709.331976 2.345554 1.838732 0.000000 0.000000 0.000000 -0.373241 0.927734
1765374710.031995 2.345076 1.839169 0.000000 0.000000 0.000000 -0.285843 0.958277
1765374710.531986 2.366066 1.829776 0.000000 0.000000 0.000000 -0.206576 0.978431
1765374713.931971 2.641487 1.740300 0.000000 0.000000 0.000000 0.028338 0.999598
1765374715.031992 2.818461 1.776837 0.000000 0.000000 0.000000 0.160493 0.987037
1765374717.531992 3.030603 1.789600 0.000000 0.000000 0.000000 -0.028184 0.999603
1765374718.331968 3.173637 1.776110 0.000000 0.000000 0.000000 -0.060895 0.998144
1765374721.531984 3.508690 1.706088 0.000000 0.000000 0.000000 -0.135712 0.990748
1765374725.031980 3.706615 1.767181 0.000000 0.000000 0.000000 0.199910 0.979814
1765374726.332029 3.811291 1.814729 0.000000 0.000000 0.000000 0.216778 0.976221
1765374727.131996 3.960400 1.883724 0.000000 0.000000 0.000000 0.210256 0.977646
1765374727.832006 4.098499 1.943929 0.000000 0.000000 0.000000 0.199999 0.979796
1765374732.731984 4.126766 1.956441 0.000000 0.000000 0.000000 0.496028 0.868306
1765374735.332003 4.120708 1.943100 0.000000 0.000000 0.000000 0.755738 0.654875
1765374736.531976 4.120893 1.943185 0.000000 0.000000 0.000000 0.839401 0.543512
1765374737.231994 4.072794 2.033355 0.000000 0.000000 0.000000 0.874628 0.484794
1765374739.131972 3.988907 2.160982 0.000000 0.000000 0.000000 0.872158 0.489225
1765374741.131974 3.979127 2.179230 0.000000 0.000000 0.000000 0.836301 0.548270
1765374742.735779 3.971589 2.296422 0.000000 0.000000 0.000000 0.707422 0.706791
1765374743.631975 3.979453 2.490419 0.000000 0.000000 0.000000 0.682771 0.730633
1765374745.931966 3.984217 2.513865 0.000000 0.000000 0.000000 0.776511 0.630104
1765374748.531974 3.954669 2.611643 0.000000 0.000000 0.000000 0.798119 0.602500
1765374749.131984 3.924508 2.717419 0.000000 0.000000 0.000000 0.797363 0.603499
1765374750.231976 3.860174 2.916511 0.000000 0.000000 0.000000 0.819908 0.572496
1765374753.331981 3.830344 2.994037 0.000000 0.000000 0.000000 0.712183 0.701994
1765374755.332042 3.837110 3.050691 0.000000 0.000000 0.000000 0.643596 0.765366
1765374756.131983 3.872298 3.211099 0.000000 0.000000 0.000000 0.621496 0.783418
1765374756.831982 3.895154 3.354104 0.000000 0.000000 0.000000 0.684919 0.728620
1765374760.637593 3.836980 3.700540 0.000000 0.000000 0.000000 0.891877 0.452277
1765374762.531972 3.828936 3.707721 0.000000 0.000000 0.000000 0.969744 0.244125
1765374765.731985 3.806546 3.714379 0.000000 0.000000 0.000000 0.999998 0.002071
1765374767.831971 3.643556 3.685406 0.000000 0.000000 0.000000 0.985058 -0.172220
1765374771.931981 3.375870 3.574309 0.000000 0.000000 0.000000 0.995579 -0.093929
1765374772.831988 3.193050 3.546208 0.000000 0.000000 0.000000 0.998299 -0.058295
1765374773.531972 3.073977 3.531537 0.000000 0.000000 0.000000 0.998283 -0.058583
1765374774.335745 2.923883 3.517890 0.000000 0.000000 0.000000 0.999479 -0.032279
1765374778.731976 2.546694 3.509196 0.000000 0.000000 0.000000 0.989521 -0.144392
1765374782.431990 2.882334 3.696507 0.000000 0.000000 0.000000 0.953562 -0.301198
1765374783.031980 2.984118 3.770358 0.000000 0.000000 0.000000 0.949439 -0.313952
1765374787.331983 2.602439 3.516861 0.000000 0.000000 0.000000 0.968971 -0.247175
1765374789.231974 2.311331 3.372553 0.000000 0.000000 0.000000 0.971495 -0.237059
1765374790.532125 2.097539 3.234507 0.000000 0.000000 0.000000 0.940655 -0.339365
1765374791.831969 1.951086 3.054603 0.000000 0.000000 0.000000 0.870672 -0.491864
1765374793.731968 2.003439 3.147768 0.000000 0.000000 0.000000 -0.849532 0.527536
1765374796.331981 1.872351 2.884105 0.000000 0.000000 0.000000 -0.837350 0.546668
1765374798.831974 1.909905 3.054842 0.000000 0.000000 0.000000 -0.757903 0.652367
1765374801.431975 1.957886 3.144556 0.000000 0.000000 0.000000 -0.618883 0.785483
1765374801.931973 1.984390 3.037803 0.000000 0.000000 0.000000 -0.617144 0.786851
1765374803.031969 2.035700 2.844535 0.000000 0.000000 0.000000 -0.608447 0.793594
1765374805.231976 2.067908 2.667446 0.000000 0.000000 0.000000 -0.695976 0.718065
1765374807.631973 2.064440 2.430167 0.000000 0.000000 0.000000 -0.713393 0.700765
1765374816.131975 2.459168 1.921862 0.000000 0.000000 0.000000 -0.340935 0.940087
1765374817.431977 2.471416 1.916520 0.000000 0.000000 0.000000 -0.190261 0.981734
1765374818.531966 2.458497 1.919661 0.000000 0.000000 0.000000 -0.055360 0.998466
1765374821.235767 2.512280 1.926580 0.000000 0.000000 0.000000 0.094380 0.995536
1765374826.131972 2.271158 1.839391 0.000000 0.000000 0.000000 0.187211 0.982320
1765374827.331965 2.156610 1.793742 0.000000 0.000000 0.000000 0.185848 0.982578
1765374829.631973 2.558755 1.895151 0.000000 0.000000 0.000000 0.048740 0.998811
1765374831.631978 2.917583 1.923153 0.000000 0.000000 0.000000 0.025680 0.999670
1765374833.031988 3.191257 1.938414 0.000000 0.000000 0.000000 0.033376 0.999443
1765374835.931975 3.689723 1.963638 0.000000 0.000000 0.000000 0.004128 0.999991
1765374838.231979 3.693667 1.961887 0.000000 0.000000 0.000000 -0.197198 0.980364
1765374839.631970 3.782531 1.914283 0.000000 0.000000 0.000000 -0.244242 0.969714
1765374843.231974 3.802166 1.898986 0.000000 0.000000 0.000000 -0.400276 0.916395
1765374848.831973 3.912983 1.371924 0.000000 0.000000 0.000000 -0.602663 0.797996
1765374852.331985 4.071463 1.140565 0.000000 0.000000 0.000000 -0.436765 0.899576
1765374853.332281 4.076177 1.137412 0.000000 0.000000 0.000000 -0.537437 0.843304
1765374854.831974 4.077393 1.142385 0.000000 0.000000 0.000000 -0.772420 0.635112
1765374856.031986 4.074667 1.133679 0.000000 0.000000 0.000000 -0.855217 0.518270
1765374859.431973 4.084672 1.145294 0.000000 0.000000 0.000000 0.993680 -0.112247
1765374861.831985 3.896301 1.130642 0.000000 0.000000 0.000000 0.999870 0.016125
1765374867.131972 3.656105 1.111699 0.000000 0.000000 0.000000 0.996173 -0.087403
1765374868.831969 3.441158 1.072106 0.000000 0.000000 0.000000 0.996049 -0.088800
1765374870.731978 3.426937 1.067717 0.000000 0.000000 0.000000 0.975858 -0.218405
1765374871.731970 3.414784 1.053792 0.000000 0.000000 0.000000 0.910483 -0.413547
1765374877.931966 3.179693 0.251006 0.000000 0.000000 0.000000 -0.762657 0.646803
1765374880.631979 3.181889 0.237048 0.000000 0.000000 0.000000 -0.617196 0.786810
1765374881.331975 3.197227 0.197729 0.000000 0.000000 0.000000 -0.554157 0.832412
1765374886.331975 3.387611 -0.139592 0.000000 0.000000 0.000000 -0.370299 0.928913
1765374887.331981 3.399378 -0.148864 0.000000 0.000000 0.000000 -0.308291 0.951292
1765374891.631994 3.346543 -0.134177 0.000000 0.000000 0.000000 0.035183 0.999381
1765374892.031987 3.424885 -0.124079 0.000000 0.000000 0.000000 0.091440 0.995811
1765374893.831970 3.495253 -0.109448 0.000000 0.000000 0.000000 0.193085 0.981182
1765374895.231979 3.666083 0.015090 0.000000 0.000000 0.000000 0.357000 0.934105
1765374897.031973 3.832135 0.163625 0.000000 0.000000 0.000000 0.351623 0.936142
1765374901.631975 4.184052 0.213866 0.000000 0.000000 0.000000 0.058076 0.998312
1765374903.631986 4.293454 0.247670 0.000000 0.000000 0.000000 0.228330 0.973584
1765374905.731968 4.658005 0.388671 0.000000 0.000000 0.000000 0.166852 0.985982
