x,y,yaw
2.190438201343158475e+00,2.095280275599350484e-01,0.000000000000000000e+00
2.197674529306413937e+00,2.164299591683601642e-01,0.000000000000000000e+00
2.207003752730702040e+00,2.200306518369018471e-01,0.000000000000000000e+00
2.215875212493346957e+00,2.246455198978140055e-01,0.000000000000000000e+00
2.222933775567997650e+00,2.317291836799114657e-01,0.000000000000000000e+00
2.229645353787122808e+00,2.391422847105048044e-01,0.000000000000000000e+00
2.238334928788208167e+00,2.440910150686420588e-01,0.000000000000000000e+00
2.245178037766112134e+00,2.513829613167871679e-01,0.000000000000000000e+00
2.251705289817482303e+00,2.589589499169818732e-01,0.000000000000000000e+00
2.260256620192751420e+00,2.641429707972037244e-01,0.000000000000000000e+00
2.267833829496043840e+00,2.706686969697017497e-01,0.000000000000000000e+00
2.267548337559065708e+00,2.806646531671731504e-01,0.000000000000000000e+00
2.264643674538052487e+00,2.902334395743878526e-01,0.000000000000000000e+00
2.257951474980603557e+00,2.976640882120108467e-01,0.000000000000000000e+00
2.262063108189482641e+00,3.067796885941987961e-01,0.000000000000000000e+00
2.266137967717543056e+00,3.159118447621495074e-01,0.000000000000000000e+00
2.270121121925387619e+00,3.250843604262684261e-01,0.000000000000000000e+00
2.274083676768458240e+00,3.342657261878457797e-01,0.000000000000000000e+00
2.281633115076277640e+00,3.408235721106024352e-01,0.000000000000000000e+00
2.287895169379669191e+00,3.486202790896527626e-01,0.000000000000000000e+00
2.292647213951187091e+00,3.574189544300964139e-01,0.000000000000000000e+00
2.293178982738129257e+00,3.674048398270116644e-01,0.000000000000000000e+00
2.293840451229203659e+00,3.773829432416789809e-01,0.000000000000000000e+00
2.294376492476987828e+00,3.873685234628198026e-01,0.000000000000000000e+00
2.295611233660326711e+00,3.972920767078079729e-01,0.000000000000000000e+00
2.294369931197837609e+00,4.072147144254728568e-01,0.000000000000000000e+00
2.289744381984820443e+00,4.160806047302344490e-01,0.000000000000000000e+00
2.288525204765977428e+00,4.260059890298691920e-01,0.000000000000000000e+00
2.287099423547846122e+00,4.359038312158617368e-01,0.000000000000000000e+00
2.285941128896001651e+00,4.458365397340827707e-01,0.000000000000000000e+00
2.284634213642010359e+00,4.557507851179508629e-01,0.000000000000000000e+00
2.283399472458671475e+00,4.656742620689954260e-01,0.000000000000000000e+00
2.282022519364448776e+00,4.755789707099126185e-01,0.000000000000000000e+00
2.280635495469669927e+00,4.854823060598448814e-01,0.000000000000000000e+00
2.278537717196246426e+00,4.952598326967688758e-01,0.000000000000000000e+00
2.276265988731398515e+00,5.049983731285095923e-01,0.000000000000000000e+00
2.273398709742752821e+00,5.145784510393781597e-01,0.000000000000000000e+00
2.270172391455491656e+00,5.240437065651178949e-01,0.000000000000000000e+00
2.266354795105274711e+00,5.332864126573554353e-01,0.000000000000000000e+00
2.262183500032494798e+00,5.423748523956192225e-01,0.000000000000000000e+00
2.257553068007086772e+00,5.512381487062981700e-01,0.000000000000000000e+00
2.252802549314441016e+00,5.600377395740651076e-01,0.000000000000000000e+00
2.247747922962576972e+00,5.686662794202647087e-01,0.000000000000000000e+00
2.242427183335411023e+00,5.771331523999606583e-01,0.000000000000000000e+00
2.237064329451373901e+00,5.855736276751685176e-01,0.000000000000000000e+00
2.231544615219280381e+00,5.939121742417171612e-01,0.000000000000000000e+00
2.226025969102397362e+00,6.022515600416454840e-01,0.000000000000000000e+00
2.220365568838292170e+00,6.104952732362903811e-01,0.000000000000000000e+00
2.214534270140506855e+00,6.186191286455283711e-01,0.000000000000000000e+00
2.208682524665834812e+00,6.267281830297065648e-01,0.000000000000000000e+00
2.202704741596323679e+00,6.347448454481764424e-01,0.000000000000000000e+00
2.196707885040910746e+00,6.427471646052481669e-01,0.000000000000000000e+00
2.190561339768140492e+00,6.506351191408527024e-01,0.000000000000000000e+00
2.184296691470666296e+00,6.584296135955384210e-01,0.000000000000000000e+00
2.178037231161357390e+00,6.662282279231789284e-01,0.000000000000000000e+00
2.171657531596923540e+00,6.739288808272277942e-01,0.000000000000000000e+00
2.165304687500639425e+00,6.816517352688663545e-01,0.000000000000000000e+00
2.158855713035410240e+00,6.892944047757737502e-01,0.000000000000000000e+00
2.152307556443491698e+00,6.968522354173899425e-01,0.000000000000000000e+00
2.145786865671271748e+00,7.044338697694115803e-01,0.000000000000000000e+00
2.139181488621647809e+00,7.119418041719086654e-01,0.000000000000000000e+00
2.132440766116064701e+00,7.193284312040703066e-01,0.000000000000000000e+00
2.125699891022594379e+00,7.267150582362319478e-01,0.000000000000000000e+00
2.118861359681306844e+00,7.340112006512754528e-01,0.000000000000000000e+00
2.112021149873259951e+00,7.413056645995595995e-01,0.000000000000000000e+00
2.105073518192614124e+00,7.484981998391845304e-01,0.000000000000000000e+00
2.098048066689488955e+00,7.556145937230894782e-01,0.000000000000000000e+00
2.091067018261543176e+00,7.627744751548505286e-01,0.000000000000000000e+00
2.084017763048012561e+00,7.698672179162372453e-01,0.000000000000000000e+00
2.076923189231979272e+00,7.769147946630085011e-01,0.000000000000000000e+00
2.069868669736339761e+00,7.840023494362299283e-01,0.000000000000000000e+00
2.062766695407776574e+00,7.910424493765276788e-01,0.000000000000000000e+00
2.055636797495853152e+00,7.980541679698035518e-01,0.000000000000000000e+00
2.048538256394752288e+00,8.050976248436200189e-01,0.000000000000000000e+00
2.041404467491704899e+00,8.121055287397155320e-01,0.000000000000000000e+00
2.034253054687684248e+00,8.190951220893453177e-01,0.000000000000000000e+00
2.027125140418294613e+00,8.261089769130421923e-01,0.000000000000000000e+00
2.019969989211037209e+00,8.330949081533788325e-01,0.000000000000000000e+00
2.012852222036147332e+00,8.401189863655190715e-01,0.000000000000000000e+00
2.005704852811137862e+00,8.471130047638780747e-01,0.000000000000000000e+00
1.998537418278959921e+00,8.540862712095759202e-01,0.000000000000000000e+00
1.991399204327183314e+00,8.610895974690550014e-01,0.000000000000000000e+00
1.984235813374016333e+00,8.680671363755948500e-01,0.000000000000000000e+00
1.977057163632127912e+00,8.750289587297516158e-01,0.000000000000000000e+00
1.969901173191490829e+00,8.820139744427649697e-01,0.000000000000000000e+00
1.962723133801151265e+00,8.889765597363578076e-01,0.000000000000000000e+00
1.955533421437439801e+00,8.959269379989734938e-01,0.000000000000000000e+00
1.948361409268645206e+00,9.028956268080549075e-01,0.000000000000000000e+00
1.941170247320005204e+00,9.098444791917984498e-01,0.000000000000000000e+00
1.933970540449681197e+00,9.167844814780835572e-01,0.000000000000000000e+00
1.926784337607375663e+00,9.237385218499923889e-01,0.000000000000000000e+00
1.919581960449025404e+00,9.306757775543076372e-01,0.000000000000000000e+00
1.912373403481242962e+00,9.376066245673598809e-01,0.000000000000000000e+00
1.905172628495708453e+00,9.445455587384344875e-01,0.000000000000000000e+00
1.897960638300463687e+00,9.514728962300808002e-01,0.000000000000000000e+00
1.890743917880715275e+00,9.583951983214490378e-01,0.000000000000000000e+00
1.883327231034772398e+00,9.651028092555066218e-01,0.000000000000000000e+00
1.876017432003823204e+00,9.719268447475087891e-01,0.000000000000000000e+00
1.868777365637330989e+00,9.788248853648099379e-01,0.000000000000000000e+00
1.859724402582844549e+00,9.830724743811970479e-01,0.000000000000000000e+00
1.850998053900940521e+00,9.879563548872681844e-01,0.000000000000000000e+00
1.842833381231872680e+00,9.937301279515736718e-01,0.000000000000000000e+00
1.835405402882275938e+00,1.000425379266766779e+00,0.000000000000000000e+00
